Date,Adj Close,Adj Close First Difference,forecast
02-01-2020,28.68400002,0,0
03-01-2020,29.5340004,0.850000381,28.68394997
06-01-2020,30.10266685,0.568666458,29.51748062
07-01-2020,31.27066612,1.167999268,30.10152763
08-01-2020,32.8093338,1.538667679,31.24895682
09-01-2020,32.08933258,-0.720001221,32.79277425
10-01-2020,31.87666702,-0.212665558,32.11293502
13-01-2020,34.99066544,3.113998413,31.86672288
14-01-2020,35.86133194,0.870666504,34.93701887
15-01-2020,34.56666565,-1.29466629,35.87652898
16-01-2020,34.23266602,-0.333999634,34.58240159
17-01-2020,34.03333282,-0.199333191,34.22971151
21-01-2020,36.47999954,2.446666718,34.0388985
22-01-2020,37.97066879,1.49066925,36.42990893
23-01-2020,38.14666748,0.175998688,37.97189903
24-01-2020,37.6546669,-0.49200058,38.14257161
27-01-2020,37.20133209,-0.453334808,37.66650669
28-01-2020,37.79333115,0.591999054,37.20297248
29-01-2020,38.73266602,0.939334869,37.7810368
30-01-2020,42.72066879,3.988002777,38.7220019
31-01-2020,43.37133408,0.650665283,42.65073848
03-02-2020,52,8.628665924,43.40040497
04-02-2020,59.13733292,7.137332916,51.81773997
05-02-2020,48.97999954,-10.15733337,59.10904515
06-02-2020,49.93066788,0.950668335,49.19102675
07-02-2020,49.87133408,-0.059333801,49.78721482
10-02-2020,51.41866684,1.547332764,49.9576279
11-02-2020,51.62533188,0.206665039,51.33785052
12-02-2020,51.152668,-0.472663879,51.66935556
13-02-2020,53.59999847,2.447330475,51.13557241
14-02-2020,53.33533478,-0.264663696,53.56334777
18-02-2020,57.2266655,3.891330719,53.36215309
19-02-2020,61.16133118,3.93466568,57.13633281
20-02-2020,59.96066666,-1.20066452,61.13971512
21-02-2020,60.06666565,0.105998993,59.99645859
24-02-2020,55.58599854,-4.480667114,60.04339122
25-02-2020,53.32733154,-2.258666992,55.68549708
26-02-2020,51.91999817,-1.407333374,53.31145696
27-02-2020,45.26666641,-6.653331757,51.95633378
28-02-2020,44.53266525,-0.73400116,45.37232513
02-03-2020,49.57466888,5.042003632,44.4839782
03-03-2020,49.70066833,0.125999451,49.50715521
04-03-2020,49.96666718,0.26599884,49.73833759
